risk_id,project_id,risk_category,risk_description,probability,impact,risk_score,status
RSK027,PRJ011,Schedule,"Potential schedule risk affecting project delivery",2,1,2,Mitigated
RSK028,PRJ012,Operational,"Potential operational risk affecting project delivery",5,5,25,Monitoring
RSK029,PRJ012,Compliance,"Potential compliance risk affecting project delivery",5,5,25,Monitoring
RSK030,PRJ012,Supplier,"Potential supplier risk affecting project delivery",3,2,6,Closed
RSK031,PRJ012,Financial,"Potential financial risk affecting project delivery",4,4,16,Monitoring
RSK032,PRJ013,Schedule,"Potential schedule risk affecting project delivery",1,3,3,Mitigated
RSK033,PRJ013,Technical,"Potential technical risk affecting project delivery",4,4,16,Open
RSK034,PRJ013,Financial,"Potential financial risk affecting project delivery",3,3,9,Monitoring
RSK035,PRJ014,Schedule,"Potential schedule risk affecting project delivery",5,5,25,Monitoring
RSK036,PRJ015,Schedule,"Potential schedule risk affecting project delivery",5,1,5,Closed
RSK037,PRJ015,Supplier,"Potential supplier risk affecting project delivery",5,2,10,Mitigated
RSK038,PRJ015,Schedule,"Potential schedule risk affecting project delivery",4,5,20,Open
RSK039,PRJ015,Financial,"Potential financial risk affecting project delivery",4,1,4,Closed
RSK040,PRJ016,Schedule,"Potential schedule risk affecting project delivery",2,1,2,Mitigated
RSK041,PRJ017,Operational,"Potential operational risk affecting project delivery",5,5,25,Open
RSK042,PRJ017,Technical,"Potential technical risk affecting project delivery",3,3,9,Mitigated
RSK043,PRJ017,Operational,"Potential operational risk affecting project delivery",3,5,15,Open
RSK044,PRJ017,Supplier,"Potential supplier risk affecting project delivery",3,1,3,Closed
RSK045,PRJ018,Schedule,"Potential schedule risk affecting project delivery",4,3,12,Mitigated
RSK046,PRJ019,Technical,"Potential technical risk affecting project delivery",1,5,5,Mitigated
RSK047,PRJ019,Technical,"Potential technical risk affecting project delivery",3,4,12,Monitoring
RSK048,PRJ020,Technical,"Potential technical risk affecting project delivery",5,4,20,Monitoring
RSK049,PRJ021,Compliance,"Potential compliance risk affecting project delivery",5,1,5,Closed
RSK050,PRJ021,Schedule,"Potential schedule risk affecting project delivery",3,1,3,Closed
RSK051,PRJ022,Resource,"Potential resource risk affecting project delivery",2,3,6,Closed
RSK052,PRJ022,Resource,"Potential resource risk affecting project delivery",2,2,4,Mitigated
RSK053,PRJ022,Financial,"Potential financial risk affecting project delivery",3,1,3,Mitigated
RSK054,PRJ023,Supplier,"Potential supplier risk affecting project delivery",5,2,10,Mitigated
RSK055,PRJ023,Resource,"Potential resource risk affecting project delivery",2,2,4,Mitigated
RSK056,PRJ023,Compliance,"Potential compliance risk affecting project delivery",4,1,4,Closed
RSK057,PRJ024,Compliance,"Potential compliance risk affecting project delivery",2,4,8,Mitigated
RSK058,PRJ024,Supplier,"Potential supplier risk affecting project delivery",4,2,8,Monitoring
RSK059,PRJ024,Technical,"Potential technical risk affecting project delivery",4,2,8,Mitigated
RSK060,PRJ025,Operational,"Potential operational risk affecting project delivery",3,4,12,Mitigated
RSK061,PRJ025,Resource,"Potential resource risk affecting project delivery",2,5,10,Monitoring
RSK062,PRJ025,Supplier,"Potential supplier risk affecting project delivery",3,1,3,Closed
RSK063,PRJ025,Supplier,"Potential supplier risk affecting project delivery",3,5,15,Open
RSK064,PRJ026,Technical,"Potential technical risk affecting project delivery",1,2,2,Closed
RSK065,PRJ027,Schedule,"Potential schedule risk affecting project delivery",2,4,8,Monitoring
RSK066,PRJ027,Resource,"Potential resource risk affecting project delivery",4,3,12,Monitoring
RSK067,PRJ027,Operational,"Potential operational risk affecting project delivery",1,4,4,Closed
RSK068,PRJ027,Resource,"Potential resource risk affecting project delivery",4,1,4,Closed
RSK069,PRJ028,Financial,"Potential financial risk affecting project delivery",3,1,3,Closed
RSK070,PRJ028,Supplier,"Potential supplier risk affecting project delivery",2,2,4,Mitigated
RSK071,PRJ029,Supplier,"Potential supplier risk affecting project delivery",4,2,8,Mitigated
RSK072,PRJ029,Operational,"Potential operational risk affecting project delivery",5,1,5,Mitigated
RSK073,PRJ029,Financial,"Potential financial risk affecting project delivery",3,2,6,Mitigated
RSK074,PRJ030,Financial,"Potential financial risk affecting project delivery",3,2,6,Closed
RSK075,PRJ030,Financial,"Potential financial risk affecting project delivery",1,2,2,Closed
RSK076,PRJ030,Compliance,"Potential compliance risk affecting project delivery",5,4,20,Open
RSK077,PRJ030,Financial,"Potential financial risk affecting project delivery",4,5,20,Open
RSK078,PRJ031,Compliance,"Potential compliance risk affecting project delivery",2,3,6,Closed
RSK079,PRJ031,Financial,"Potential financial risk affecting project delivery",5,3,15,Open
RSK080,PRJ032,Resource,"Potential resource risk affecting project delivery",1,5,5,Closed
RSK081,PRJ032,Financial,"Potential financial risk affecting project delivery",5,5,25,Open
RSK082,PRJ032,Operational,"Potential operational risk affecting project delivery",4,1,4,Closed
RSK083,PRJ032,Technical,"Potential technical risk affecting project delivery",3,1,3,Closed
RSK084,PRJ033,Technical,"Potential technical risk affecting project delivery",2,1,2,Closed
RSK085,PRJ034,Financial,"Potential financial risk affecting project delivery",3,5,15,Monitoring
RSK086,PRJ034,Supplier,"Potential supplier risk affecting project delivery",2,4,8,Mitigated
RSK087,PRJ035,Supplier,"Potential supplier risk affecting project delivery",2,1,2,Closed
RSK088,PRJ035,Financial,"Potential financial risk affecting project delivery",3,2,6,Mitigated
RSK089,PRJ036,Financial,"Potential financial risk affecting project delivery",3,3,9,Mitigated
RSK090,PRJ036,Supplier,"Potential supplier risk affecting project delivery",5,4,20,Monitoring
RSK091,PRJ037,Supplier,"Potential supplier risk affecting project delivery",2,3,6,Closed
RSK092,PRJ038,Supplier,"Potential supplier risk affecting project delivery",3,3,9,Monitoring
RSK093,PRJ039,Operational,"Potential operational risk affecting project delivery",4,4,16,Monitoring
RSK094,PRJ039,Technical,"Potential technical risk affecting project delivery",2,4,8,Mitigated
RSK095,PRJ039,Technical,"Potential technical risk affecting project delivery",5,3,15,Open
RSK096,PRJ040,Financial,"Potential financial risk affecting project delivery",4,5,20,Open
RSK097,PRJ040,Schedule,"Potential schedule risk affecting project delivery",3,3,9,Monitoring
RSK098,PRJ040,Financial,"Potential financial risk affecting project delivery",3,3,9,Mitigated
RSK099,PRJ040,Operational,"Potential operational risk affecting project delivery",5,4,20,Open
RSK100,PRJ041,Technical,"Potential technical risk affecting project delivery",4,1,4,Closed
RSK101,PRJ041,Schedule,"Potential schedule risk affecting project delivery",4,3,12,Monitoring
RSK102,PRJ041,Financial,"Potential financial risk affecting project delivery",4,3,12,Monitoring
RSK103,PRJ041,Financial,"Potential financial risk affecting project delivery",2,5,10,Mitigated
RSK104,PRJ042,Resource,"Potential resource risk affecting project delivery",1,2,2,Closed
RSK105,PRJ043,Operational,"Potential operational risk affecting project delivery",5,1,5,Mitigated
RSK106,PRJ043,Compliance,"Potential compliance risk affecting project delivery",4,3,12,Mitigated
RSK107,PRJ043,Operational,"Potential operational risk affecting project delivery",1,5,5,Mitigated
RSK108,PRJ044,Operational,"Potential operational risk affecting project delivery",3,3,9,Monitoring
RSK109,PRJ044,Financial,"Potential financial risk affecting project delivery",1,2,2,Closed
RSK110,PRJ044,Schedule,"Potential schedule risk affecting project delivery",4,5,20,Open
RSK111,PRJ045,Supplier,"Potential supplier risk affecting project delivery",3,4,12,Monitoring
RSK112,PRJ045,Schedule,"Potential schedule risk affecting project delivery",3,4,12,Monitoring
RSK113,PRJ045,Financial,"Potential financial risk affecting project delivery",2,1,2,Closed
RSK114,PRJ046,Compliance,"Potential compliance risk affecting project delivery",4,1,4,Closed
RSK115,PRJ046,Compliance,"Potential compliance risk affecting project delivery",3,1,3,Closed
RSK116,PRJ047,Supplier,"Potential supplier risk affecting project delivery",2,2,4,Closed
RSK117,PRJ047,Schedule,"Potential schedule risk affecting project delivery",2,1,2,Mitigated
RSK118,PRJ047,Supplier,"Potential supplier risk affecting project delivery",2,2,4,Closed
RSK119,PRJ048,Technical,"Potential technical risk affecting project delivery",5,5,25,Monitoring
RSK120,PRJ049,Supplier,"Potential supplier risk affecting project delivery",5,2,10,Monitoring
RSK121,PRJ049,Financial,"Potential financial risk affecting project delivery",3,4,12,Mitigated
RSK122,PRJ049,Schedule,"Potential schedule risk affecting project delivery",4,4,16,Open
RSK123,PRJ049,Resource,"Potential resource risk affecting project delivery",3,1,3,Closed
RSK124,PRJ050,Compliance,"Potential compliance risk affecting project delivery",5,3,15,Open
RSK125,PRJ050,Supplier,"Potential supplier risk affecting project delivery",5,5,25,Open
RSK126,PRJ050,Supplier,"Potential supplier risk affecting project delivery",2,4,8,Monitoring
RSK127,PRJ050,Supplier,"Potential supplier risk affecting project delivery",1,5,5,Mitigated
RSK128,PRJ051,Resource,"Potential resource risk affecting project delivery",2,3,6,Mitigated
RSK129,PRJ051,Technical,"Potential technical risk affecting project delivery",5,3,15,Open
RSK130,PRJ051,Technical,"Potential technical risk affecting project delivery",2,5,10,Mitigated
RSK131,PRJ052,Compliance,"Potential compliance risk affecting project delivery",3,5,15,Open
RSK132,PRJ052,Schedule,"Potential schedule risk affecting project delivery",2,5,10,Monitoring
RSK133,PRJ053,Compliance,"Potential compliance risk affecting project delivery",5,5,25,Monitoring
RSK134,PRJ053,Supplier,"Potential supplier risk affecting project delivery",5,1,5,Mitigated
RSK135,PRJ054,Financial,"Potential financial risk affecting project delivery",5,3,15,Open
RSK136,PRJ055,Schedule,"Potential schedule risk affecting project delivery",1,4,4,Closed
RSK137,PRJ055,Compliance,"Potential compliance risk affecting project delivery",3,4,12,Monitoring
RSK138,PRJ055,Supplier,"Potential supplier risk affecting project delivery",4,3,12,Mitigated
RSK139,PRJ055,Financial,"Potential financial risk affecting project delivery",1,2,2,Closed
RSK140,PRJ056,Operational,"Potential operational risk affecting project delivery",4,2,8,Mitigated
RSK141,PRJ056,Schedule,"Potential schedule risk affecting project delivery",2,3,6,Closed
RSK142,PRJ056,Compliance,"Potential compliance risk affecting project delivery",3,4,12,Monitoring
RSK143,PRJ056,Supplier,"Potential supplier risk affecting project delivery",3,5,15,Open
RSK144,PRJ057,Resource,"Potential resource risk affecting project delivery",4,1,4,Closed
RSK145,PRJ057,Operational,"Potential operational risk affecting project delivery",2,2,4,Mitigated
RSK146,PRJ057,Financial,"Potential financial risk affecting project delivery",3,4,12,Mitigated
RSK147,PRJ058,Supplier,"Potential supplier risk affecting project delivery",2,3,6,Closed
RSK148,PRJ058,Resource,"Potential resource risk affecting project delivery",2,4,8,Mitigated
RSK149,PRJ059,Technical,"Potential technical risk affecting project delivery",4,1,4,Mitigated
RSK150,PRJ059,Operational,"Potential operational risk affecting project delivery",5,4,20,Open
RSK151,PRJ059,Resource,"Potential resource risk affecting project delivery",5,3,15,Open
RSK152,PRJ059,Financial,"Potential financial risk affecting project delivery",3,4,12,Mitigated
RSK153,PRJ060,Schedule,"Potential schedule risk affecting project delivery",1,1,1,Closed
RSK154,PRJ060,Resource,"Potential resource risk affecting project delivery",3,3,9,Mitigated
RSK155,PRJ060,Technical,"Potential technical risk affecting project delivery",1,4,4,Mitigated
RSK156,PRJ061,Technical,"Potential technical risk affecting project delivery",5,3,15,Open
RSK157,PRJ061,Operational,"Potential operational risk affecting project delivery",5,4,20,Monitoring
RSK158,PRJ062,Resource,"Potential resource risk affecting project delivery",1,4,4,Closed
RSK159,PRJ063,Schedule,"Potential schedule risk affecting project delivery",3,2,6,Mitigated
RSK160,PRJ063,Schedule,"Potential schedule risk affecting project delivery",5,4,20,Open
RSK161,PRJ063,Financial,"Potential financial risk affecting project delivery",1,2,2,Closed
RSK162,PRJ064,Schedule,"Potential schedule risk affecting project delivery",4,2,8,Monitoring
RSK163,PRJ064,Technical,"Potential technical risk affecting project delivery",5,3,15,Open
RSK164,PRJ064,Operational,"Potential operational risk affecting project delivery",5,3,15,Monitoring
RSK165,PRJ064,Schedule,"Potential schedule risk affecting project delivery",5,5,25,Monitoring
RSK166,PRJ065,Operational,"Potential operational risk affecting project delivery",1,3,3,Closed
RSK167,PRJ065,Compliance,"Potential compliance risk affecting project delivery",1,4,4,Closed
RSK168,PRJ065,Supplier,"Potential supplier risk affecting project delivery",1,5,5,Closed
RSK169,PRJ066,Compliance,"Potential compliance risk affecting project delivery",5,5,25,Open
RSK170,PRJ066,Compliance,"Potential compliance risk affecting project delivery",1,5,5,Closed
RSK171,PRJ066,Resource,"Potential resource risk affecting project delivery",5,5,25,Monitoring
RSK172,PRJ067,Supplier,"Potential supplier risk affecting project delivery",2,1,2,Mitigated
RSK173,PRJ067,Resource,"Potential resource risk affecting project delivery",1,4,4,Closed
RSK174,PRJ068,Resource,"Potential resource risk affecting project delivery",4,2,8,Mitigated
RSK175,PRJ068,Schedule,"Potential schedule risk affecting project delivery",5,4,20,Open
RSK176,PRJ068,Compliance,"Potential compliance risk affecting project delivery",2,5,10,Monitoring
RSK177,PRJ068,Schedule,"Potential schedule risk affecting project delivery",3,4,12,Mitigated
RSK178,PRJ069,Resource,"Potential resource risk affecting project delivery",4,5,20,Monitoring
RSK179,PRJ069,Schedule,"Potential schedule risk affecting project delivery",3,3,9,Mitigated
RSK180,PRJ069,Resource,"Potential resource risk affecting project delivery",2,3,6,Closed
RSK181,PRJ070,Technical,"Potential technical risk affecting project delivery",3,2,6,Closed
RSK182,PRJ070,Technical,"Potential technical risk affecting project delivery",4,3,12,Mitigated
RSK183,PRJ071,Financial,"Potential financial risk affecting project delivery",5,5,25,Monitoring
RSK184,PRJ071,Operational,"Potential operational risk affecting project delivery",3,2,6,Closed
RSK185,PRJ071,Financial,"Potential financial risk affecting project delivery",3,1,3,Closed
RSK186,PRJ072,Compliance,"Potential compliance risk affecting project delivery",3,4,12,Monitoring
RSK187,PRJ072,Resource,"Potential resource risk affecting project delivery",5,3,15,Monitoring
RSK188,PRJ072,Resource,"Potential resource risk affecting project delivery",1,5,5,Mitigated
RSK189,PRJ072,Resource,"Potential resource risk affecting project delivery",1,5,5,Mitigated
RSK190,PRJ073,Financial,"Potential financial risk affecting project delivery",1,4,4,Closed
RSK191,PRJ073,Compliance,"Potential compliance risk affecting project delivery",4,1,4,Mitigated
RSK192,PRJ074,Schedule,"Potential schedule risk affecting project delivery",2,4,8,Mitigated
RSK193,PRJ075,Compliance,"Potential compliance risk affecting project delivery",2,3,6,Closed
RSK194,PRJ075,Technical,"Potential technical risk affecting project delivery",1,1,1,Mitigated
RSK195,PRJ075,Schedule,"Potential schedule risk affecting project delivery",1,2,2,Closed
RSK196,PRJ075,Supplier,"Potential supplier risk affecting project delivery",2,1,2,Closed
RSK197,PRJ076,Resource,"Potential resource risk affecting project delivery",3,1,3,Mitigated
RSK198,PRJ076,Technical,"Potential technical risk affecting project delivery",5,5,25,Open
RSK199,PRJ076,Technical,"Potential technical risk affecting project delivery",3,4,12,Mitigated
RSK200,PRJ076,Resource,"Potential resource risk affecting project delivery",5,4,20,Monitoring
RSK201,PRJ077,Supplier,"Potential supplier risk affecting project delivery",1,3,3,Mitigated
RSK202,PRJ077,Compliance,"Potential compliance risk affecting project delivery",4,3,12,Monitoring
RSK203,PRJ078,Compliance,"Potential compliance risk affecting project delivery",3,3,9,Monitoring
RSK204,PRJ079,Schedule,"Potential schedule risk affecting project delivery",4,4,16,Monitoring
RSK205,PRJ079,Financial,"Potential financial risk affecting project delivery",4,1,4,Mitigated
RSK206,PRJ080,Operational,"Potential operational risk affecting project delivery",3,2,6,Mitigated
RSK207,PRJ080,Technical,"Potential technical risk affecting project delivery",4,2,8,Mitigated
RSK208,PRJ081,Technical,"Potential technical risk affecting project delivery",3,5,15,Open
RSK209,PRJ081,Technical,"Potential technical risk affecting project delivery",3,2,6,Mitigated
RSK210,PRJ081,Compliance,"Potential compliance risk affecting project delivery",1,4,4,Closed
RSK211,PRJ082,Operational,"Potential operational risk affecting project delivery",5,3,15,Open
RSK212,PRJ082,Compliance,"Potential compliance risk affecting project delivery",3,3,9,Monitoring
RSK213,PRJ083,Resource,"Potential resource risk affecting project delivery",4,2,8,Mitigated
RSK214,PRJ083,Compliance,"Potential compliance risk affecting project delivery",5,3,15,Monitoring
RSK215,PRJ084,Supplier,"Potential supplier risk affecting project delivery",5,2,10,Monitoring
RSK216,PRJ084,Compliance,"Potential compliance risk affecting project delivery",5,1,5,Closed
RSK217,PRJ084,Schedule,"Potential schedule risk affecting project delivery",3,1,3,Mitigated
RSK218,PRJ084,Financial,"Potential financial risk affecting project delivery",5,5,25,Open
RSK219,PRJ085,Resource,"Potential resource risk affecting project delivery",3,5,15,Monitoring
RSK220,PRJ085,Financial,"Potential financial risk affecting project delivery",2,5,10,Mitigated
RSK221,PRJ086,Schedule,"Potential schedule risk affecting project delivery",4,1,4,Closed
RSK222,PRJ087,Schedule,"Potential schedule risk affecting project delivery",4,4,16,Open
RSK223,PRJ087,Schedule,"Potential schedule risk affecting project delivery",4,3,12,Monitoring
RSK224,PRJ088,Technical,"Potential technical risk affecting project delivery",1,2,2,Mitigated
RSK225,PRJ088,Financial,"Potential financial risk affecting project delivery",4,3,12,Monitoring
RSK226,PRJ088,Schedule,"Potential schedule risk affecting project delivery",1,1,1,Closed
RSK227,PRJ088,Financial,"Potential financial risk affecting project delivery",3,4,12,Monitoring
RSK228,PRJ089,Supplier,"Potential supplier risk affecting project delivery",4,3,12,Mitigated
RSK229,PRJ089,Operational,"Potential operational risk affecting project delivery",4,4,16,Open
RSK230,PRJ090,Compliance,"Potential compliance risk affecting project delivery",3,1,3,Mitigated
RSK231,PRJ090,Schedule,"Potential schedule risk affecting project delivery",4,5,20,Open
RSK232,PRJ091,Supplier,"Potential supplier risk affecting project delivery",1,1,1,Closed
RSK233,PRJ091,Operational,"Potential operational risk affecting project delivery",5,4,20,Monitoring
RSK234,PRJ092,Resource,"Potential resource risk affecting project delivery",4,3,12,Monitoring
RSK235,PRJ092,Technical,"Potential technical risk affecting project delivery",2,1,2,Mitigated
RSK236,PRJ093,Schedule,"Potential schedule risk affecting project delivery",1,2,2,Mitigated
RSK237,PRJ093,Financial,"Potential financial risk affecting project delivery",1,5,5,Mitigated
RSK238,PRJ093,Operational,"Potential operational risk affecting project delivery",5,1,5,Mitigated
RSK239,PRJ093,Compliance,"Potential compliance risk affecting project delivery",1,4,4,Closed
RSK240,PRJ094,Schedule,"Potential schedule risk affecting project delivery",2,1,2,Mitigated
RSK241,PRJ094,Schedule,"Potential schedule risk affecting project delivery",3,2,6,Closed
RSK242,PRJ095,Resource,"Potential resource risk affecting project delivery",3,2,6,Mitigated
RSK243,PRJ095,Operational,"Potential operational risk affecting project delivery",3,3,9,Monitoring
RSK244,PRJ095,Schedule,"Potential schedule risk affecting project delivery",5,2,10,Mitigated
RSK245,PRJ096,Financial,"Potential financial risk affecting project delivery",3,4,12,Mitigated
RSK246,PRJ096,Compliance,"Potential compliance risk affecting project delivery",4,4,16,Open
RSK247,PRJ096,Technical,"Potential technical risk affecting project delivery",4,2,8,Mitigated
RSK248,PRJ096,Resource,"Potential resource risk affecting project delivery",2,3,6,Mitigated
RSK249,PRJ097,Financial,"Potential financial risk affecting project delivery",5,4,20,Monitoring
RSK250,PRJ097,Schedule,"Potential schedule risk affecting project delivery",5,2,10,Mitigated
RSK251,PRJ097,Resource,"Potential resource risk affecting project delivery",3,2,6,Closed
RSK252,PRJ097,Compliance,"Potential compliance risk affecting project delivery",1,4,4,Closed
RSK253,PRJ098,Schedule,"Potential schedule risk affecting project delivery",2,1,2,Closed
RSK254,PRJ099,Compliance,"Potential compliance risk affecting project delivery",5,5,25,Open
RSK255,PRJ099,Supplier,"Potential supplier risk affecting project delivery",1,2,2,Mitigated
RSK256,PRJ099,Operational,"Potential operational risk affecting project delivery",2,3,6,Closed
RSK257,PRJ099,Financial,"Potential financial risk affecting project delivery",2,2,4,Mitigated
RSK258,PRJ100,Resource,"Potential resource risk affecting project delivery",5,2,10,Mitigated
RSK259,PRJ100,Resource,"Potential resource risk affecting project delivery",5,3,15,Monitoring
RSK260,PRJ100,Operational,"Potential operational risk affecting project delivery",4,5,20,Monitoring
RSK261,PRJ100,Technical,"Potential technical risk affecting project delivery",3,3,9,Mitigated
RSK262,PRJ101,Financial,"Potential financial risk affecting project delivery",4,3,12,Monitoring
RSK263,PRJ101,Technical,"Potential technical risk affecting project delivery",3,4,12,Monitoring
RSK264,PRJ101,Schedule,"Potential schedule risk affecting project delivery",2,2,4,Mitigated
RSK265,PRJ101,Technical,"Potential technical risk affecting project delivery",5,5,25,Monitoring
RSK266,PRJ102,Resource,"Potential resource risk affecting project delivery",2,3,6,Mitigated
RSK267,PRJ102,Operational,"Potential operational risk affecting project delivery",5,2,10,Mitigated
RSK268,PRJ102,Schedule,"Potential schedule risk affecting project delivery",3,3,9,Mitigated
RSK269,PRJ103,Operational,"Potential operational risk affecting project delivery",2,3,6,Mitigated
RSK270,PRJ103,Resource,"Potential resource risk affecting project delivery",5,4,20,Open
RSK271,PRJ103,Schedule,"Potential schedule risk affecting project delivery",1,5,5,Mitigated
RSK272,PRJ103,Supplier,"Potential supplier risk affecting project delivery",1,1,1,Mitigated
RSK273,PRJ104,Resource,"Potential resource risk affecting project delivery",2,1,2,Mitigated
RSK274,PRJ104,Financial,"Potential financial risk affecting project delivery",2,5,10,Mitigated
RSK275,PRJ104,Technical,"Potential technical risk affecting project delivery",1,5,5,Closed
RSK276,PRJ104,Compliance,"Potential compliance risk affecting project delivery",4,1,4,Mitigated
RSK277,PRJ105,Financial,"Potential financial risk affecting project delivery",1,5,5,Closed
RSK278,PRJ105,Schedule,"Potential schedule risk affecting project delivery",3,1,3,Closed
RSK279,PRJ105,Supplier,"Potential supplier risk affecting project delivery",2,1,2,Mitigated
RSK280,PRJ105,Schedule,"Potential schedule risk affecting project delivery",2,2,4,Mitigated
RSK281,PRJ106,Supplier,"Potential supplier risk affecting project delivery",3,3,9,Mitigated
RSK282,PRJ106,Financial,"Potential financial risk affecting project delivery",3,4,12,Mitigated
RSK283,PRJ106,Schedule,"Potential schedule risk affecting project delivery",2,2,4,Closed
RSK284,PRJ107,Compliance,"Potential compliance risk affecting project delivery",1,1,1,Closed
RSK285,PRJ108,Operational,"Potential operational risk affecting project delivery",5,4,20,Open
RSK286,PRJ108,Compliance,"Potential compliance risk affecting project delivery",1,2,2,Mitigated
RSK287,PRJ108,Operational,"Potential operational risk affecting project delivery",4,3,12,Monitoring
RSK288,PRJ108,Schedule,"Potential schedule risk affecting project delivery",1,2,2,Mitigated
RSK289,PRJ109,Technical,"Potential technical risk affecting project delivery",1,1,1,Closed
RSK290,PRJ109,Schedule,"Potential schedule risk affecting project delivery",5,1,5,Mitigated
RSK291,PRJ109,Supplier,"Potential supplier risk affecting project delivery",3,1,3,Mitigated
RSK292,PRJ109,Schedule,"Potential schedule risk affecting project delivery",2,4,8,Monitoring
RSK293,PRJ110,Resource,"Potential resource risk affecting project delivery",5,2,10,Mitigated
RSK294,PRJ110,Compliance,"Potential compliance risk affecting project delivery",5,3,15,Monitoring
RSK295,PRJ110,Supplier,"Potential supplier risk affecting project delivery",2,1,2,Closed
RSK296,PRJ111,Financial,"Potential financial risk affecting project delivery",4,2,8,Monitoring
RSK297,PRJ112,Schedule,"Potential schedule risk affecting project delivery",5,5,25,Monitoring
RSK298,PRJ112,Supplier,"Potential supplier risk affecting project delivery",3,1,3,Closed
RSK299,PRJ112,Supplier,"Potential supplier risk affecting project delivery",4,4,16,Open
RSK300,PRJ113,Schedule,"Potential schedule risk affecting project delivery",4,4,16,Open
RSK301,PRJ113,Compliance,"Potential compliance risk affecting project delivery",5,4,20,Open
RSK302,PRJ113,Supplier,"Potential supplier risk affecting project delivery",5,3,15,Open
RSK303,PRJ114,Financial,"Potential financial risk affecting project delivery",3,2,6,Closed
RSK304,PRJ115,Compliance,"Potential compliance risk affecting project delivery",4,3,12,Mitigated
RSK305,PRJ115,Financial,"Potential financial risk affecting project delivery",1,1,1,Closed
RSK306,PRJ116,Technical,"Potential technical risk affecting project delivery",3,1,3,Mitigated
RSK307,PRJ116,Financial,"Potential financial risk affecting project delivery",2,4,8,Mitigated
RSK308,PRJ116,Schedule,"Potential schedule risk affecting project delivery",5,5,25,Monitoring
RSK309,PRJ116,Financial,"Potential financial risk affecting project delivery",1,1,1,Closed
RSK310,PRJ117,Schedule,"Potential schedule risk affecting project delivery",5,3,15,Monitoring
RSK311,PRJ118,Technical,"Potential technical risk affecting project delivery",4,4,16,Open
RSK312,PRJ119,Schedule,"Potential schedule risk affecting project delivery",5,2,10,Mitigated
RSK313,PRJ119,Resource,"Potential resource risk affecting project delivery",2,3,6,Closed
RSK314,PRJ120,Operational,"Potential operational risk affecting project delivery",2,1,2,Mitigated
RSK315,PRJ120,Operational,"Potential operational risk affecting project delivery",3,4,12,Mitigated
RSK316,PRJ120,Operational,"Potential operational risk affecting project delivery",1,3,3,Closed
